127.0.0.1 - - [13/Dec/2018:21:16:39 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/highlight.js/9.8.0/highlight.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/css/jquery.slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/jspdf/1.2.61/jspdf.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/plupload/2.1.9/js/plupload.full.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/zeroclipboard/2.2.0/ZeroClipboard.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/videojs/video.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/bootstrap-tour/0.11.0/js/bootstrap-tour.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/bootstrap-table/1.11.0/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/bootstrap-table/1.11.0/extensions/filter-control/bootstrap-table-filter-control.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/bootstrap-table/1.11.0/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/static/ravenjs/3.7.0/raven.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:44 +0800] "GET /plailing/app/dest/frontend/index.js?=2016121272249 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:45 +0800] "GET /plailing/static/font-awesome//4.7.0/css/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:45 +0800] "GET /plailing/captcha HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/js/jquery.min-1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/img/footer-weixin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/js/jquery.slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/img/slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/img/slider4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/img/slider3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:16:46 +0800] "GET /plailing/img/slider2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:36 +0800] "GET /plailing/main.jsp HTTP/1.1" 200 26290
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/highlight.js/9.8.0/monokai-sublime.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/app/css/libs/bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/app/css/libs/videojs/5.11.7/video-js.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/app/css/dest/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/css/jquery.slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/app/css/libs/katex/0.6.0/katex.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/js/jquery-1.7.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/app/dest/lib/lib.js?=2016121272249 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/highlight.js/9.8.0/highlight.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/ace/1.2.5/ace.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/aliyun/aliyun-oss-sdk-4.3.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/jquery/2.2.4/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/jspdf/1.2.61/jspdf.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/font-awesome//4.7.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/plupload/2.1.9/js/plupload.full.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/zeroclipboard/2.2.0/ZeroClipboard.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/videojs/video.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/bootstrap-tour/0.11.0/js/bootstrap-tour.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/bootstrap-table/1.11.0/locale/bootstrap-table-zh-CN.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/bootstrap-table/1.11.0/extensions/filter-control/bootstrap-table-filter-control.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/app/dest/frontend/index.js?=2016121272249 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/ravenjs/3.7.0/raven.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/js/jquery.min-1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/js/jquery.slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/bootstrap-table/1.11.0/bootstrap-table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/img/footer-weixin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/img/ncn1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/captcha HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:37 +0800] "GET /plailing/static/font-awesome//4.7.0/css/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:38 +0800] "GET /plailing/img/slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:38 +0800] "GET /plailing/img/slider2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:38 +0800] "GET /plailing/img/slider3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:38 +0800] "GET /plailing/img/slider4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:38 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:48 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:50 +0800] "GET /plailing/courseDetail?courseId=7 HTTP/1.1" 200 22070
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:50 +0800] "GET /plailing/app/css/dest/styles.css?=2016121272249 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:50 +0800] "GET /plailing/img/Linux&c.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:50 +0800] "GET /plailing/restatic/js/libs/marked/katex/katex.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:50 +0800] "GET /plailing/img/ncn1.jpg?imageView2/0/h/300 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:50 +0800] "GET /plailing/captcha HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:51 +0800] "GET /plailing/favicon.ico HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:52 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:57 +0800] "GET /plailing/courseListAll HTTP/1.1" 200 24212
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:57 +0800] "GET /plailing/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:17:57 +0800] "GET /plailing/captcha HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:05 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:06 +0800] "POST /plailing/pleaseLogin HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:23 +0800] "POST /plailing/verifyUser HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:27 +0800] "GET /plailing/login?email=123%40qq.com&password=123 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:27 +0800] "GET /plailing/index HTTP/1.1" 200 26204
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:27 +0800] "GET /plailing/captcha HTTP/1.1" 200 3011
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/quit HTTP/1.1" 200 26290
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/js/jquery.min-1.js HTTP/1.1" 200 93106
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/app/css/libs/videojs/5.11.7/video-js.min.css HTTP/1.1" 200 41117
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/app/css/libs/katex/0.6.0/katex.min.css HTTP/1.1" 200 20641
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/app/css/dest/styles.css HTTP/1.1" 200 182691
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/app/css/libs/bootstrap/3.3.7/css/bootstrap.min.css HTTP/1.1" 200 147135
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/captcha HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/static/font-awesome//4.7.0/css/font-awesome.min.css HTTP/1.1" 200 30950
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/static/font-awesome//4.7.0/css/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 200 98024
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/img/slider3.jpg HTTP/1.1" 200 22704
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/img/slider2.jpg HTTP/1.1" 200 67888
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/img/slider1.jpg HTTP/1.1" 200 56821
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:41 +0800] "GET /plailing/img/slider4.jpg HTTP/1.1" 200 91098
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:22:43 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:05 +0800] "POST /plailing/verifyUser HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:11 +0800] "GET /plailing/login?email=12345%40qq.com&password=1234567 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:11 +0800] "GET /plailing/index HTTP/1.1" 200 26204
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:12 +0800] "GET /plailing/captcha HTTP/1.1" 200 2913
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:12 +0800] "GET /plailing/img/Linux&c.png HTTP/1.1" 200 45112
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:12 +0800] "GET /plailing/static/font-awesome//4.7.0/css/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:20 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:20 +0800] "POST /plailing/pleaseLogin HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:21 +0800] "GET /plailing/left HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:21 +0800] "GET /plailing/css/whir_common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:21 +0800] "GET /plailing/css/whir_grzx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:21 +0800] "GET /plailing/js/province_city.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:36 +0800] "GET /plailing/index.jsp HTTP/1.1" 200 26204
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:36 +0800] "GET /plailing/captcha HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:36 +0800] "GET /plailing/img/ncn1.jpg HTTP/1.1" 200 89411
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/courseListAll HTTP/1.1" 200 24126
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/app/css/dest/styles.css?=2016121272249 HTTP/1.1" 200 182691
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/captcha HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/app/dest/lib/lib.js?=2016121272249 HTTP/1.1" 200 611244
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/jquery/2.2.4/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/ace/1.2.5/ace.js HTTP/1.1" 200 354294
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/jspdf/1.2.61/jspdf.min.js HTTP/1.1" 200 297659
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/highlight.js/9.8.0/highlight.min.js HTTP/1.1" 200 44717
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/aliyun/aliyun-oss-sdk-4.3.0.min.js HTTP/1.1" 200 369173
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/bootstrap-table/1.11.0/bootstrap-table.min.js HTTP/1.1" 200 53581
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/ravenjs/3.7.0/raven.min.js HTTP/1.1" 200 31645
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/videojs/video.min.js HTTP/1.1" 200 274965
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/app/dest/frontend/index.js?=2016121272249 HTTP/1.1" 200 135614
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/plupload/2.1.9/js/plupload.full.min.js HTTP/1.1" 200 113501
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/bootstrap-tour/0.11.0/js/bootstrap-tour.min.js HTTP/1.1" 200 20520
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:38 +0800] "GET /plailing/static/zeroclipboard/2.2.0/ZeroClipboard.min.js HTTP/1.1" 200 29911
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:40 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:40 +0800] "POST /plailing/pleaseLogin HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:40 +0800] "GET /plailing/left HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:40 +0800] "GET /plailing/css/whir_grzx.css HTTP/1.1" 200 37728
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:40 +0800] "GET /plailing/images/grzx/arrow.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:47 +0800] "GET /plailing/js/jquery.min.js HTTP/1.1" 200 91669
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:53 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:53 +0800] "POST /plailing/pleaseLogin HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:54 +0800] "GET /plailing/left HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:23:54 +0800] "GET /plailing/images/grzx/arrow.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:09 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:09 +0800] "GET /plailing/courseListAll HTTP/1.1" 200 24126
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:09 +0800] "GET /plailing/captcha HTTP/1.1" 200 3098
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:13 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:13 +0800] "POST /plailing/pleaseLogin HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:13 +0800] "GET /plailing/left HTTP/1.1" 200 11501
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:13 +0800] "GET /plailing/images/grzx/arrow.png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:18 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:19 +0800] "GET /plailing/demand.jsp HTTP/1.1" 200 16134
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:19 +0800] "GET /captcha HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:24:24 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:37 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:37 +0800] "GET /plailing/courseListAll HTTP/1.1" 200 24126
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:37 +0800] "GET /plailing/captcha HTTP/1.1" 200 3118
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:42 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:42 +0800] "GET /plailing/courseListF?fTypeId=1 HTTP/1.1" 200 18347
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:42 +0800] "GET /plailing/captcha HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:44 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:45 +0800] "GET /plailing/courseListF?fTypeId=2 HTTP/1.1" 200 18562
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:45 +0800] "GET /plailing/captcha HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:47 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:47 +0800] "GET /plailing/courseListF?fTypeId=3 HTTP/1.1" 200 18441
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:47 +0800] "GET /plailing/captcha HTTP/1.1" 200 2827
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:48 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:48 +0800] "GET /plailing/courseListF?fTypeId=4 HTTP/1.1" 200 24849
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:48 +0800] "GET /plailing/captcha HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:50 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:50 +0800] "GET /plailing/courseListT?cTypeId=32 HTTP/1.1" 200 18442
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:50 +0800] "GET /plailing/captcha HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:52 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:52 +0800] "GET /plailing/courseListT?cTypeId=33 HTTP/1.1" 200 18442
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:52 +0800] "GET /plailing/captcha HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:54 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:54 +0800] "GET /plailing/courseListT?cTypeId=34 HTTP/1.1" 200 18442
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:54 +0800] "GET /plailing/captcha HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:57 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:57 +0800] "GET /plailing/courseListT?cTypeId=30 HTTP/1.1" 200 24853
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:57 +0800] "GET /plailing/captcha HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:25:59 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:26:00 +0800] "GET /plailing/courseListT?cTypeId=29 HTTP/1.1" 200 18442
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:26:00 +0800] "GET /plailing/captcha HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:26:00 +0800] "POST /plailing/verifyPassword HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [13/Dec/2018:21:26:04 +0800] "GET /plailing/courseListAll HTTP/1.1" 200 24126
